t_s,lat,lon,heading,speed_mps,terrain_h,gps_ok
0.0,43.50014,42.49986,120.0,40.0,2181.25,1
1.0,43.49996219,42.50028553,119.94,39.654,2195.34,1
2.0,43.4997894,42.50071184,119.2,39.434,2210.56,1
3.0,43.49961928,42.50113342,119.09,38.956,2221.88,1
4.0,43.49944353,42.50155873,119.67,39.525,2230.54,1
5.0,43.49926859,42.50198848,119.3,39.793,2239.94,1
6.0,43.4990878,42.50242096,119.96,40.307,2248.08,1
7.0,43.49890665,42.50284966,120.22,40.063,2251.99,1
8.0,43.49872704,42.50327056,120.47,39.432,2247.95,1
9.0,43.49854838,42.50368613,120.65,39.008,2240.75,1
10.0,43.49836516,42.50412189,120.1,40.672,2230.12,1
11.0,43.49820261,42.5045297,118.79,37.576,2215.32,1
12.0,43.49804477,42.50491861,119.23,35.986,2206.18,1
13.0,43.4978939,42.50528399,119.65,33.95,2202.27,1
14.0,43.4977418,42.50565456,119.5,34.382,2197.49,1
15.0,43.49757838,42.50604757,119.82,36.581,2191.36,1
16.0,43.49740638,42.50645724,120.06,38.223,2184.74,1
17.0,43.49724122,42.50685437,119.83,36.966,2177.95,1
18.0,43.49707113,42.50724469,120.99,36.769,2172.7,1
19.0,43.49690791,42.50761361,121.38,34.894,2166.79,1
20.0,43.49673555,42.50799689,121.8,36.416,2162.23,1
21.0,43.49656585,42.5083849,121.08,36.587,2158.64,1
22.0,43.49638952,42.50879984,120.36,38.834,2154.29,1
23.0,43.4962112,42.50922211,120.21,39.457,2149.58,1
24.0,43.49602102,42.50965217,121.37,40.673,2145.05,1
25.0,43.49583835,42.51006987,121.09,39.387,2140.88,1
26.0,43.49564813,42.51050971,120.8,41.353,2130.19,1
27.0,43.49545372,42.51096576,120.44,42.716,2125.71,1
28.0,43.49528015,42.51138187,119.9,38.762,2127.69,1
29.0,43.4950991,42.51180566,120.5,39.717,2127.35,1
30.0,43.49491507,42.51223496,120.58,40.268,2120.88,1
31.0,43.49472223,42.51268238,120.72,42.028,2118.04,1
32.0,43.4945209,42.51314596,120.91,43.632,2117.64,1
33.0,43.49431589,42.51360029,121.88,43.209,2113.97,1
34.0,43.49409692,42.51408444,121.94,46.074,2112.79,1
35.0,43.493892,42.51453886,121.87,43.21,2118.12,1
36.0,43.49367882,42.51500532,122.21,44.522,2126.93,1
37.0,43.49345933,42.51548048,122.49,45.491,2140.54,1
38.0,43.49324854,42.5159368,122.49,43.687,2147.6,1
39.0,43.49305088,42.51636824,122.27,41.209,2152.87,1
40.0,43.49285906,42.51678992,122.09,40.195,2160.15,1
41.0,43.49267862,42.51718487,122.2,37.693,2165.64,1
42.0,43.4924886,42.51760078,122.2,39.694,2173.32,1
43.0,43.4922921,42.5180197,122.88,40.287,2182.5,1
44.0,43.49209609,42.51843502,123.05,40.014,2187.98,1
45.0,43.49191417,42.51881327,123.54,36.65,2191.59,1
46.0,43.49171351,42.51922492,123.9,40.053,2196.84,1
47.0,43.49152128,42.51962871,123.27,39.004,2201.49,1
48.0,43.49132535,42.52002485,124.28,38.72,2208.85,1
49.0,43.49112956,42.5204326,123.5,39.489,2217.94,1
50.0,43.49092877,42.52084428,123.91,40.062,2227.64,1
51.0,43.49073138,42.52125766,123.35,39.968,2236.65,1
52.0,43.49052754,42.52168057,123.6,41.005,2251.69,1
53.0,43.49031269,42.52212559,123.64,43.171,2274.09,1
54.0,43.49008493,42.52259194,123.95,45.402,2295.95,1
55.0,43.48983751,42.52309625,124.07,49.168,2312.49,1
56.0,43.48958892,42.52358905,124.81,48.475,2329.45,1
57.0,43.48933562,42.52408018,125.41,48.666,2339.46,1
58.0,43.48910396,42.52452688,125.56,44.346,2345.14,1
59.0,43.48887855,42.52495461,125.99,42.696,2351.38,1
60.0,43.48866375,42.52535836,126.25,40.436,2358.13,1
61.0,43.48846387,42.52573097,126.48,37.426,2369.75,1
62.0,43.48826938,42.52609008,126.74,36.193,2382.7,1
63.0,43.48807816,42.52644059,126.94,35.419,2388.81,1
64.0,43.48789134,42.52678068,127.13,34.452,2389.68,1
65.0,43.48768157,42.52717572,126.2,39.538,2387.14,1
66.0,43.48747505,42.52756536,126.15,38.972,2383.01,1
67.0,43.48726257,42.5279502,127.27,39.058,2379.45,1
68.0,43.487047,42.52834414,127.03,39.853,2375.58,1
69.0,43.48683137,42.52874021,126.88,39.993,2368.03,1
70.0,43.48663398,42.52908988,127.89,35.783,2358.6,1
71.0,43.48641751,42.52948037,127.38,39.691,2348.83,1
72.0,43.48616885,42.52993606,126.95,46.052,2335.46,1
73.0,43.48592806,42.53037357,127.18,44.353,2319.37,1
74.0,43.48567636,42.53083303,127.05,46.499,2304.51,1
75.0,43.48542941,42.5312738,127.67,44.979,2293.32,1
76.0,43.48520678,42.53167144,127.66,40.567,2286.51,1
77.0,43.48495955,42.53210854,127.94,44.764,2281.11,1
78.0,43.48473085,42.5325191,127.52,41.807,2277.78,1
79.0,43.48449609,42.53293613,127.81,42.632,2274.28,1
80.0,43.4842774,42.53333011,127.42,40.065,2272.98,1
81.0,43.48405772,42.53374286,126.26,41.346,2273.93,1
82.0,43.48382994,42.53415912,127.02,42.111,2276.11,1
83.0,43.48359357,42.53459423,126.82,43.902,2278.86,1
84.0,43.48336255,42.53500789,127.59,42.163,2281.23,1
85.0,43.48311859,42.53541939,129.25,42.922,2284.65,1
86.0,43.48286842,42.53583906,129.41,43.87,2288.81,1
87.0,43.48258967,42.53629433,130.16,48.116,2292.23,1
88.0,43.48231907,42.53673296,130.37,46.504,2294.69,1
89.0,43.4820738,42.53714675,129.25,43.157,2296.16,1
90.0,43.48183141,42.53755645,129.19,42.699,2284.27,1
91.0,43.48160234,42.53795218,128.58,40.89,2261.6,1
92.0,43.48136914,42.53835239,128.77,41.459,2231.64,1
93.0,43.48112837,42.53876701,128.67,42.895,2199.26,1
94.0,43.48089247,42.53917807,128.34,42.333,2168.26,1
95.0,43.48066988,42.53958138,127.26,40.93,2145.75,1
96.0,43.48044601,42.53998967,127.08,41.337,2130.6,1
97.0,43.48021436,42.54039925,127.94,41.947,2119.32,1
98.0,43.47999088,42.5407986,127.64,40.737,2117.34,1
99.0,43.47978198,42.54117275,127.58,38.133,2126.27,1
100.0,43.47954939,42.54158231,128.05,42.009,2137.6,1
101.0,43.47932415,42.54197419,128.38,40.383,2129.69,1
102.0,43.47909458,42.5423706,128.59,40.968,2107.41,1
103.0,43.4788416,42.54280305,128.88,44.87,2078.74,1
104.0,43.47858625,42.54324271,128.67,45.489,2061.14,1
105.0,43.47832767,42.54368485,128.87,45.872,2057.1,1
106.0,43.47808343,42.54409675,129.25,42.968,2052.88,1
107.0,43.47781419,42.5445365,130.16,46.477,2048.54,1
108.0,43.47754526,42.54499094,129.2,47.369,2033.89,1
109.0,43.47728093,42.54544682,128.63,47.138,2022.35,1
110.0,43.47701893,42.54591428,127.68,47.712,2022.63,1
111.0,43.47676889,42.54635952,127.74,45.479,2032.83,1
112.0,43.47651098,42.54683073,127.03,47.678,2048.63,1
113.0,43.47624022,42.54733292,126.61,50.539,2060.87,1
114.0,43.47597511,42.54783086,126.27,49.889,2091.88,1
115.0,43.47571716,42.5483238,125.8,49.094,2119.87,1
116.0,43.4754562,42.54882404,125.71,49.768,2146.12,1
117.0,43.47520491,42.54929499,126.33,47.222,2174.4,1
118.0,43.47495312,42.54976847,126.24,47.419,2202.46,1
119.0,43.47470426,42.55022994,126.62,46.445,2217.67,1
120.0,43.47444796,42.55069943,126.95,47.46,2231.52,1
121.0,43.47420764,42.55114725,126.48,44.994,2246.79,1
122.0,43.47397818,42.55156814,126.92,42.526,2257.14,1
123.0,43.47372671,42.55201079,128.06,45.413,2257.65,1
124.0,43.47349636,42.55241905,127.86,41.776,2258.29,1
125.0,43.47328401,42.55279711,127.74,38.622,2261.08,1
126.0,43.47307775,42.55316945,127.36,37.841,2261.74,1
127.0,43.47285126,42.5535795,127.28,41.63,2262.19,1
128.0,43.47262729,42.55397805,127.75,40.721,2259.6,1
129.0,43.47239655,42.55438331,128.12,41.613,2241.62,1
130.0,43.47215269,42.55481588,127.84,44.251,2216.96,1
131.0,43.47192094,42.5552299,127.64,42.24,2201.18,1
132.0,43.4716814,42.55565783,127.64,43.661,2196.85,1
133.0,43.47143944,42.55609503,127.33,44.418,2200.35,1
134.0,43.4712063,42.55651443,127.45,42.68,2212.11,1
135.0,43.47097021,42.55693779,127.54,43.133,2226.08,1
136.0,43.47072278,42.55737661,127.85,44.894,2242.42,1
137.0,43.47048358,42.55779556,128.19,43.065,2250.47,1
138.0,43.47025143,42.55820682,127.88,42.093,2256.31,1
139.0,43.470018,42.55862006,127.9,42.306,2266.55,1
140.0,43.46978415,42.55903639,127.74,42.531,2280.87,0
141.0,43.46954234,42.55946283,128.0,43.722,2287.2,0
142.0,43.46931078,42.559871,128.02,41.855,2293.28,0
143.0,43.46908119,42.56027561,128.02,41.494,2298.45,0
144.0,43.46884156,42.56069298,128.35,42.995,2305.23,0
145.0,43.46857946,42.56115212,128.19,47.194,2314.1,0
146.0,43.46831571,42.56159836,129.16,46.494,2324.27,0
147.0,43.46805435,42.56205235,128.42,46.817,2333.65,0
148.0,43.46782295,42.5624644,127.73,42.093,2342.67,0
149.0,43.46760281,42.56285801,127.62,40.147,2350.87,0
