t_s,lat,lon,heading,speed_mps,terrain_h,gps_ok
0.0,43.50337,42.49214,120.0,40.0,2111.39,1
0.2,43.50331248,42.49219847,143.6,39.777,2112.29,1
0.4,43.5032552,42.49225798,143.0,39.922,2113.14,1
0.6,43.50319789,42.49231592,143.74,39.557,2113.97,1
0.8,43.50314087,42.49237439,143.36,39.55,2114.82,1
1.0,43.50308352,42.49243222,143.82,39.551,2115.79,1
1.2,43.50302887,42.49248414,145.43,36.939,2116.68,1
1.4,43.50297374,42.49253807,144.64,37.624,2117.54,1
1.6,43.50291916,42.4925919,144.42,37.356,2118.36,1
1.8,43.50286483,42.49264573,144.3,37.238,2119.06,1
2.0,43.50281079,42.49269824,144.83,36.799,2119.83,1
2.2,43.50275599,42.49275399,143.57,37.906,2120.65,1
2.4,43.50269934,42.49281075,143.99,38.978,2121.52,1
2.6,43.50264475,42.49286367,144.89,37.145,2122.4,1
2.8,43.50258867,42.49291999,143.92,38.618,2123.25,1
3.0,43.502531,42.49298091,142.54,40.438,2124.07,1
3.2,43.50247279,42.49304264,142.43,40.875,2124.94,1
3.4,43.50241551,42.49310277,142.71,40.073,2125.83,1
3.6,43.502358,42.49316178,143.34,39.902,2126.76,1
3.8,43.50229984,42.49322427,142.07,41.043,2127.84,1
4.0,43.50224041,42.49328806,142.1,41.923,2128.93,1
4.2,43.50218184,42.49335164,141.78,41.492,2129.97,1
4.4,43.50212388,42.49341363,142.2,40.833,2130.96,1
4.6,43.50206593,42.49347596,142.04,40.908,2131.95,1
4.8,43.50200788,42.4935373,142.53,40.712,2132.98,1
5.0,43.50195048,42.49359666,143.12,39.934,2134.0,1
5.2,43.50189344,42.49365727,142.38,40.09,2135.03,1
5.4,43.5018372,42.49371717,142.31,39.553,2136.04,1
5.6,43.50177965,42.49377944,141.87,40.719,2136.9,1
5.8,43.50172174,42.4938425,141.7,41.076,2137.54,1
6.0,43.50166334,42.49390653,141.51,41.53,2138.14,1
6.2,43.50160594,42.49396845,141.96,40.57,2138.71,1
6.4,43.50154869,42.49403102,141.59,40.665,2139.24,1
6.6,43.5014916,42.49409313,141.72,40.474,2139.62,1
6.8,43.5014353,42.49415456,141.64,39.965,2139.88,1
7.0,43.50137883,42.49421639,141.54,40.137,2140.01,1
7.2,43.50132309,42.49427673,141.86,39.447,2140.02,1
7.4,43.50126676,42.49433864,141.44,40.098,2139.79,1
7.6,43.50121118,42.49439863,141.94,39.289,2139.17,1
