t_s,lat,lon,heading,speed_mps,terrain_h,gps_ok
0.0,51.537,55.033,90.0,40.0,122.56,1
1.0,51.53677789,55.03344773,128.57,39.654,122.86,1
2.0,51.53655277,55.03391806,127.58,41.093,123.01,1
3.0,51.53633454,55.03433985,129.75,37.989,121.81,1
4.0,51.53611725,55.03475662,129.97,37.655,117.99,1
5.0,51.53589905,55.03518094,129.58,38.121,116.95,1
6.0,51.53567563,55.03564504,127.74,40.636,116.27,1
7.0,51.53545222,55.03611203,127.56,40.794,115.27,1
8.0,51.53523371,55.03654644,128.96,38.685,115.22,1
9.0,51.53500991,55.03702464,126.96,41.439,115.57,1
10.0,51.53478734,55.0374979,127.09,41.082,117.75,1
11.0,51.53457172,55.03792458,129.09,38.067,120.72,1
12.0,51.53435416,55.03837047,128.11,39.241,119.92,1
13.0,51.53413816,55.03881087,128.25,38.836,119.55,1
14.0,51.53392165,55.03926186,127.66,39.448,119.43,1
15.0,51.53371061,55.03967982,129.07,37.277,119.66,1
16.0,51.53350697,55.04005578,131.05,34.52,119.68,1
17.0,51.53330586,55.04042252,131.4,33.855,120.13,1
18.0,51.5330999,55.04082745,129.27,36.221,120.39,1
19.0,51.53289981,55.04120149,130.69,34.161,120.27,1
20.0,51.53270434,55.04155475,131.65,32.74,120.05,1
21.0,51.53250952,55.0419116,131.27,32.879,120.46,1
22.0,51.53231015,55.04230667,129.05,35.228,120.31,1
23.0,51.53210951,55.0427218,127.85,36.405,119.92,1
24.0,51.53190764,55.0431593,126.57,37.721,120.0,1
25.0,51.53170956,55.0435796,127.15,36.515,119.76,1
26.0,51.53151048,55.04402289,125.83,37.862,119.22,1
27.0,51.53130545,55.04454482,122.27,42.747,120.21,1
28.0,51.53110586,55.04502989,123.48,40.275,120.67,1
29.0,51.53090435,55.04556117,121.37,43.091,120.39,1
30.0,51.53070334,55.04611583,120.22,44.453,120.65,1
31.0,51.5305053,55.04666269,120.2,43.82,120.51,1
32.0,51.53031126,55.0471891,120.65,42.374,120.34,1
33.0,51.53012349,55.04766879,122.18,39.249,120.66,1
34.0,51.52993728,55.04815992,121.36,39.831,120.42,1
35.0,51.5297518,55.04867632,120.0,41.295,120.6,1
36.0,51.52956461,55.04926538,117.06,45.808,120.6,1
37.0,51.52938184,55.04982886,117.54,44.009,120.33,1
38.0,51.52920384,55.05036269,118.19,41.945,120.61,1
39.0,51.52903003,55.05087834,118.45,40.616,120.7,1
40.0,51.52885791,55.05141889,117.1,42.053,120.58,1
41.0,51.5286896,55.05194971,117.01,41.261,120.85,1
