timestamp_s,found_lat,found_lon,x_m,y_m,heading_deg,speed_mps,neff
36000.000000,43.503370,42.492140,0.00,0.00,120.00,40.00,3000
36000.200000,43.503333,42.492225,6.86,-4.06,120.00,40.00,3000
36000.400000,43.503298,42.492311,13.77,-7.98,120.63,40.00,3000
36000.600000,43.503262,42.492395,20.58,-12.00,119.56,40.00,3000
36000.800000,43.503225,42.492478,27.33,-16.16,120.59,40.00,3000
36001.000000,43.503189,42.492564,34.21,-20.19,121.60,40.00,3000
36001.200000,43.503151,42.492648,41.02,-24.42,120.35,40.00,3000
36001.400000,43.503114,42.492732,47.84,-28.55,121.85,40.00,3000
36001.600000,43.503076,42.492816,54.62,-32.69,121.23,40.00,3000
36001.800000,43.503040,42.492900,61.37,-36.77,121.38,40.00,3000
36002.000000,43.503003,42.492986,68.32,-40.82,121.19,40.00,3000
36002.200000,43.502969,42.493070,75.11,-44.58,120.17,40.00,3000
36002.400000,43.502934,42.493150,81.57,-48.59,119.04,40.00,3000
36002.600000,43.502899,42.493228,87.85,-52.49,121.82,40.00,3000
36002.800000,43.502864,42.493306,94.17,-56.31,121.80,40.00,3000
36003.000000,43.502828,42.493386,100.59,-60.28,121.14,40.00,3000
36003.200000,43.502792,42.493467,107.13,-64.31,121.74,40.00,3000
36003.400000,43.502758,42.493547,113.61,-68.18,121.62,40.00,3000
36003.600000,43.502721,42.493625,119.91,-72.30,120.92,40.00,3000
36003.800000,43.502686,42.493702,126.11,-76.18,123.18,40.00,3000
36004.000000,43.502650,42.493780,132.41,-80.13,122.01,40.00,3000
36004.200000,43.502616,42.493859,138.81,-83.90,122.11,40.00,3000
36004.400000,43.502582,42.493940,145.38,-87.76,120.45,40.00,3000
36004.600000,43.502546,42.494021,151.92,-91.73,120.44,40.00,3000
36004.800000,43.502508,42.494102,158.42,-96.01,121.26,40.00,3000
36005.000000,43.502472,42.494183,164.99,-99.98,123.40,40.00,3000
36005.200000,43.502435,42.494266,171.69,-104.05,121.16,40.00,3000
36005.400000,43.502398,42.494351,178.54,-108.17,121.23,40.00,3000
