timestamp_s,found_lat,found_lon,x_m,y_m,heading_deg,speed_mps,neff
36000.000000,43.503370,42.492140,0.00,0.00,120.00,40.00,3000
36000.200000,43.503312,42.492198,4.72,-6.40,120.00,40.00,3000
36000.400000,43.503255,42.492258,9.53,-12.78,143.57,40.00,3000
36000.600000,43.503198,42.492316,14.21,-19.17,143.03,40.00,3000
36000.800000,43.503141,42.492374,18.92,-25.51,143.73,40.00,3000
36001.000000,43.503084,42.492432,23.59,-31.89,143.41,40.00,3000
36001.200000,43.503029,42.492484,27.79,-37.98,143.81,40.00,3000
36001.400000,43.502974,42.492538,32.14,-44.12,145.40,40.00,3000
36001.600000,43.502919,42.492592,36.48,-50.19,144.71,40.00,3000
36001.800000,43.502865,42.492646,40.83,-56.24,144.38,40.00,3000
36002.000000,43.502811,42.492698,45.07,-62.25,144.30,40.00,3000
36002.200000,43.502756,42.492754,49.58,-68.35,144.81,40.00,3000
36002.400000,43.502699,42.492811,54.15,-74.66,143.55,40.00,3000
36002.600000,43.502645,42.492864,58.43,-80.74,144.05,40.00,3000
36002.800000,43.502589,42.492920,62.98,-86.98,144.88,40.00,3000
36003.000000,43.502531,42.492981,67.89,-93.40,143.88,40.00,3000
36003.200000,43.502473,42.493043,72.89,-99.87,142.58,40.00,3000
36003.400000,43.502416,42.493103,77.74,-106.25,142.37,40.00,3000
36003.600000,43.502358,42.493162,82.51,-112.66,142.72,40.00,3000
36003.800000,43.502300,42.493224,87.55,-119.13,143.34,40.00,3000
36004.000000,43.502240,42.493288,92.69,-125.75,142.07,40.00,3000
36004.200000,43.502182,42.493352,97.84,-132.27,142.18,40.00,3000
36004.400000,43.502124,42.493414,102.84,-138.72,141.71,40.00,3000
36004.600000,43.502066,42.493476,107.87,-145.16,142.21,40.00,3000
36004.800000,43.502008,42.493537,112.83,-151.64,141.98,40.00,3000
36005.000000,43.501951,42.493597,117.62,-158.02,142.59,40.00,3000
36005.200000,43.501894,42.493657,122.52,-164.36,143.11,40.00,3000
36005.400000,43.501837,42.493717,127.35,-170.64,142.33,40.00,3000
36005.600000,43.501780,42.493779,132.38,-177.04,142.39,40.00,3000
36005.800000,43.501722,42.493842,137.47,-183.49,141.82,40.00,3000
36006.000000,43.501663,42.493907,142.63,-189.99,141.77,40.00,3000
36006.200000,43.501606,42.493969,147.64,-196.37,141.49,40.00,3000
36006.400000,43.501549,42.494031,152.69,-202.75,141.89,40.00,3000
36006.600000,43.501492,42.494093,157.71,-209.10,141.67,40.00,3000
36006.800000,43.501435,42.494155,162.66,-215.37,141.65,40.00,3000
36007.000000,43.501379,42.494216,167.65,-221.66,141.70,40.00,3000
36007.200000,43.501323,42.494277,172.52,-227.85,141.56,40.00,3000
36007.400000,43.501267,42.494339,177.53,-234.12,141.83,40.00,3000
36007.600000,43.501211,42.494399,182.37,-240.32,141.40,40.00,3000
36007.800000,43.501156,42.494459,187.25,-246.41,141.98,40.00,3000
36008.000000,43.501102,42.494519,192.09,-252.51,141.32,40.00,3000
36008.200000,43.501046,42.494580,197.03,-258.67,141.56,40.00,3000
36008.400000,43.500991,42.494642,201.99,-264.81,141.28,40.00,3000
36008.600000,43.500935,42.494705,207.14,-271.05,141.04,40.00,3000
36008.800000,43.500878,42.494771,212.45,-277.39,140.49,40.00,3000
