timestamp_s,found_lat,found_lon,x_m,y_m,heading_deg,speed_mps,neff
36000.000000,43.503370,42.492140,0.00,0.00,120.00,40.00,3000
36001.000000,43.503192,42.492565,34.34,-19.83,120.00,40.00,3000
36002.000000,43.503007,42.493006,69.92,-40.37,120.01,40.00,3000
36003.000000,43.502837,42.493413,102.83,-59.37,119.99,40.00,3000
36004.000000,43.502668,42.493817,135.43,-78.20,120.00,40.00,3000
36005.000000,43.502496,42.494226,168.45,-97.26,120.01,40.00,3000
36006.000000,43.502314,42.494662,203.64,-117.57,119.99,40.00,3000
36007.000000,43.502131,42.495100,238.98,-137.96,120.00,40.00,3000
36008.000000,43.501935,42.495458,267.91,-159.73,120.45,38.96,2541
36009.000000,43.501838,42.495916,304.86,-170.52,120.61,38.76,2275
36010.000000,43.501664,42.496157,324.35,-189.87,121.35,36.90,718
36011.000000,43.501331,42.496493,351.50,-226.98,120.95,38.37,2309
36012.000000,43.501285,42.497034,395.16,-232.15,120.72,38.52,2198
36013.000000,43.501094,42.497429,427.09,-253.35,120.67,38.57,2173
36014.000000,43.500914,42.497826,459.07,-273.39,120.69,38.47,2196
36015.000000,43.500808,42.498311,498.24,-285.22,120.69,38.63,2115
36016.000000,43.500560,42.498804,538.08,-312.79,120.78,40.15,1442
36017.000000,43.500430,42.499145,565.58,-327.23,120.37,38.93,2525
36018.000000,43.500329,42.499498,594.14,-338.58,119.22,37.85,1832
36019.000000,43.500250,42.499903,626.81,-347.36,117.80,37.23,1382
36020.000000,43.500129,42.500412,667.89,-360.82,118.12,37.67,2867
36021.000000,43.499895,42.500766,696.52,-386.86,117.92,37.70,2742
36022.000000,43.499778,42.501230,733.94,-399.81,118.06,37.67,2587
36023.000000,43.499578,42.501584,762.58,-422.18,118.33,37.51,2468
36024.000000,43.499352,42.501858,784.63,-447.26,119.81,37.14,2128
36025.000000,43.499105,42.502109,804.91,-474.76,120.75,36.72,1810
36026.000000,43.498966,42.502400,828.42,-490.29,122.28,35.85,1380
36027.000000,43.498715,42.502681,851.10,-518.20,122.12,35.65,2788
36028.000000,43.498775,42.503368,906.61,-511.47,118.98,36.58,1818
36029.000000,43.498693,42.503828,943.75,-520.68,118.16,36.60,1454
36030.000000,43.498631,42.504280,980.24,-527.55,115.15,37.20,2320
36031.000000,43.498499,42.504745,1017.80,-542.21,115.77,37.24,2430
36032.000000,43.498413,42.505200,1054.52,-551.81,115.22,37.27,2352
36033.000000,43.498213,42.505565,1084.02,-574.03,115.93,37.06,2330
36034.000000,43.497987,42.505899,1110.95,-599.22,116.27,36.99,2254
36035.000000,43.497931,42.506402,1151.59,-605.51,115.58,37.24,2079
36036.000000,43.497701,42.506732,1178.23,-631.06,115.38,37.28,1982
36037.000000,43.497635,42.507227,1218.16,-638.43,115.41,37.24,1912
36038.000000,43.497478,42.507605,1248.71,-655.86,114.84,37.21,1847
36039.000000,43.497279,42.507979,1278.88,-678.11,115.16,37.19,1771
36040.000000,43.497193,42.508441,1316.25,-687.65,115.15,37.12,1719
36041.000000,43.497098,42.508864,1350.33,-698.15,115.49,36.81,1640
36042.000000,43.496892,42.509226,1379.63,-721.11,115.08,36.99,1573
36043.000000,43.496744,42.509859,1430.74,-737.59,114.74,38.23,1340
36044.000000,43.496506,42.510304,1466.65,-764.11,114.42,38.86,2811
36045.000000,43.496380,42.510743,1502.10,-778.09,114.02,38.76,2683
36046.000000,43.495789,42.511283,1545.70,-843.91,117.95,40.18,1212
36047.000000,43.495662,42.511672,1577.06,-858.06,116.48,40.01,2861
36048.000000,43.495590,42.512108,1612.29,-866.12,115.56,39.86,2565
36049.000000,43.495467,42.512587,1650.94,-879.73,115.53,39.83,2482
36050.000000,43.495283,42.513042,1687.70,-900.24,115.75,39.91,2341
36051.000000,43.495097,42.513459,1721.36,-920.98,116.28,39.68,2140
36052.000000,43.494967,42.513679,1739.18,-935.47,116.93,38.48,1816
36053.000000,43.495155,42.513878,1755.18,-914.47,115.62,36.90,1095
36054.000000,43.494616,42.514778,1827.91,-974.47,114.97,39.85,1674
36055.000000,43.494332,42.515212,1862.93,-1006.13,115.72,39.95,1679
36056.000000,43.494185,42.515727,1904.52,-1022.51,114.82,40.14,1460
36057.000000,43.493915,42.516144,1938.15,-1052.50,116.42,39.87,2300
36058.000000,43.493810,42.516582,1973.57,-1064.26,115.55,39.88,2464
36059.000000,43.493453,42.517032,2009.85,-1103.95,116.57,40.02,2327
36060.000000,43.493016,42.517454,2043.95,-1152.63,118.01,40.05,1890
36061.000000,43.492804,42.517901,2080.07,-1176.25,117.95,40.56,1824
36062.000000,43.492569,42.518346,2115.99,-1202.32,118.30,40.45,1587
36063.000000,43.492514,42.518801,2152.72,-1208.54,118.87,39.51,1335
36064.000000,43.492212,42.519174,2182.86,-1242.14,118.96,39.83,2830
36065.000000,43.491937,42.519525,2211.21,-1272.74,118.86,39.93,2375
36066.000000,43.491647,42.519993,2248.93,-1304.99,121.85,39.96,1451
36067.000000,43.491545,42.520410,2282.62,-1316.37,122.22,39.40,2537
36068.000000,43.491322,42.520669,2303.55,-1341.17,122.49,38.65,1879
36069.000000,43.491184,42.521088,2337.38,-1356.59,122.47,38.44,1618
36070.000000,43.490936,42.521564,2375.78,-1384.20,122.53,39.18,1304
36071.000000,43.490785,42.521840,2398.13,-1401.01,122.28,37.84,2299
36072.000000,43.490602,42.522209,2427.92,-1421.36,122.00,37.56,2094
36073.000000,43.490463,42.522672,2465.25,-1436.86,121.71,38.29,1681
36074.000000,43.490294,42.523076,2497.93,-1455.67,122.02,38.11,1632
36075.000000,43.490103,42.523482,2530.67,-1476.85,121.04,38.29,1526
36076.000000,43.490128,42.524161,2585.53,-1474.09,116.76,39.63,512
36077.000000,43.490017,42.524678,2627.25,-1486.45,116.77,39.64,2951
36078.000000,43.489853,42.525107,2661.93,-1504.73,114.85,39.95,2609
36079.000000,43.489746,42.525627,2703.87,-1516.58,114.94,40.02,2538
36080.000000,43.489572,42.526059,2738.79,-1536.03,114.81,40.01,2440
36081.000000,43.489371,42.526459,2771.08,-1558.36,115.08,39.90,2282
36082.000000,43.489279,42.526906,2807.17,-1568.63,114.92,39.48,2028
36083.000000,43.488954,42.527508,2855.73,-1604.83,115.93,41.50,1243
36084.000000,43.488685,42.527914,2888.57,-1634.71,117.05,41.69,2842
36085.000000,43.488510,42.528381,2926.23,-1654.18,117.07,41.86,2738
36086.000000,43.488221,42.528736,2954.93,-1686.44,117.56,41.71,2603
36087.000000,43.488043,42.529273,2998.23,-1706.22,117.52,42.56,2518
36088.000000,43.487890,42.529805,3041.22,-1723.19,117.32,42.96,2358
36089.000000,43.487809,42.530360,3086.06,-1732.20,116.45,42.91,2357
36090.000000,43.487614,42.530845,3125.19,-1753.90,116.22,43.22,2220
36091.000000,43.487515,42.531434,3172.78,-1764.99,115.07,43.51,1952
36092.000000,43.487324,42.531982,3217.03,-1786.23,114.86,43.86,1525
36093.000000,43.486746,42.532373,3248.56,-1850.55,117.94,45.38,1220
36094.000000,43.486299,42.532936,3294.03,-1900.32,121.66,46.47,2220
36095.000000,43.486044,42.533423,3333.38,-1928.71,121.39,46.66,1970
36096.000000,43.485875,42.533999,3379.84,-1947.52,120.16,46.96,1579
36097.000000,43.485564,42.534412,3413.23,-1982.20,120.97,47.05,1399
36098.000000,43.485389,42.534920,3454.26,-2001.64,120.68,46.76,2911
36099.000000,43.485236,42.535465,3498.26,-2018.65,120.24,46.63,2807
36100.000000,43.484973,42.535913,3534.38,-2048.00,119.98,46.64,2765
36101.000000,43.484743,42.536370,3571.28,-2073.54,120.50,46.55,2796
36102.000000,43.484572,42.536876,3612.18,-2092.54,121.07,46.44,2775
36103.000000,43.484316,42.537325,3648.44,-2121.10,120.86,46.41,2730
36104.000000,43.484074,42.537783,3685.37,-2148.06,121.98,46.49,2740
36105.000000,43.483929,42.538310,3727.92,-2164.14,120.74,46.19,2552
36106.000000,43.483642,42.538609,3752.14,-2196.14,121.39,45.55,2204
36107.000000,43.483485,42.539457,3820.60,-2213.59,120.61,47.10,1345
36108.000000,43.483708,42.539488,3823.05,-2188.80,118.03,42.40,382
36109.000000,43.483269,42.540387,3895.63,-2237.65,119.01,46.91,3000
36110.000000,43.483063,42.540893,3936.51,-2260.53,119.53,46.89,2442
36111.000000,43.482626,42.541082,3951.81,-2309.20,123.08,46.16,1388
36112.000000,43.482509,42.541784,4008.46,-2322.25,121.54,47.10,2554
36113.000000,43.482330,42.542145,4037.61,-2342.15,122.04,44.83,1222
36114.000000,43.482036,42.542784,4089.19,-2374.92,122.36,47.23,1397
36115.000000,43.481821,42.543331,4133.37,-2398.83,121.29,47.75,2763
36116.000000,43.481530,42.543778,4169.49,-2431.20,120.13,47.58,2273
36117.000000,43.481585,42.544512,4228.76,-2425.11,117.03,46.48,908
36118.000000,43.481368,42.545013,4269.18,-2449.26,118.66,46.76,2579
36119.000000,43.481056,42.545334,4295.12,-2484.01,120.85,45.95,1583
36120.000000,43.480912,42.545870,4338.40,-2499.99,122.12,45.89,2698
36121.000000,43.480600,42.546211,4365.96,-2534.79,122.19,45.25,2496
36122.000000,43.480378,42.546545,4392.90,-2559.47,123.70,44.65,1271
36123.000000,43.480140,42.546895,4421.13,-2585.99,123.82,43.81,1546
36124.000000,43.479818,42.547346,4457.58,-2621.86,124.96,45.71,801
36125.000000,43.479438,42.547665,4483.28,-2664.06,126.47,45.93,2597
36126.000000,43.479246,42.548184,4525.19,-2685.44,126.64,46.08,2429
36127.000000,43.479134,42.548887,4581.98,-2697.98,122.64,48.42,869
36128.000000,43.478901,42.549388,4622.43,-2723.88,122.44,48.58,2637
36129.000000,43.478613,42.549846,4659.45,-2755.90,123.25,48.55,2125
36130.000000,43.478457,42.550490,4711.46,-2773.27,121.30,49.63,1285
36131.000000,43.478134,42.550943,4748.03,-2809.29,121.45,49.82,2802
36132.000000,43.478048,42.551576,4799.09,-2818.84,121.27,49.42,2702
36133.000000,43.477742,42.551953,4829.53,-2852.88,123.36,48.26,1584
36134.000000,43.477719,42.552583,4880.43,-2855.44,119.59,48.19,1050
36135.000000,43.477525,42.553031,4916.62,-2877.11,118.55,47.65,2438
36136.000000,43.477350,42.553533,4957.15,-2896.60,119.45,46.93,1408
36137.000000,43.477074,42.553983,4993.45,-2927.32,122.63,46.23,815
36138.000000,43.476614,42.554237,5013.99,-2978.52,123.04,46.26,2556
36139.000000,43.476663,42.554851,5063.58,-2973.03,120.81,45.52,1786
36140.000000,43.476518,42.555382,5106.40,-2989.21,118.71,45.76,1100
36141.000000,43.476295,42.555829,5142.51,-3014.03,119.75,45.32,2669
36142.000000,43.476064,42.556326,5182.61,-3039.69,119.51,45.65,2470
36143.000000,43.475876,42.556791,5220.17,-3060.62,119.74,45.33,2059
36144.000000,43.475799,42.557053,5241.35,-3069.25,120.01,42.98,759
36145.000000,43.475655,42.557551,5281.56,-3085.27,120.21,42.93,2846
36146.000000,43.475253,42.557855,5306.10,-3130.04,122.17,42.84,2009
36147.000000,43.475336,42.558419,5351.68,-3120.75,119.78,42.22,1903
36148.000000,43.475166,42.558857,5387.05,-3139.64,119.35,42.09,1731
36149.000000,43.475032,42.559240,5417.90,-3154.60,117.91,41.73,1427
