timestamp_s,found_lat,found_lon,x_m,y_m,heading_deg,speed_mps,neff
36000.000000,51.537000,55.033000,-0.00,0.00,120.00,40.00,3000
36001.000000,51.536778,55.033448,31.00,-24.73,120.00,40.00,3000
36002.000000,51.536553,55.033918,63.56,-49.78,128.58,40.00,3000
36003.000000,51.536335,55.034340,92.77,-74.08,127.56,40.00,3000
36004.000000,51.536117,55.034757,121.64,-98.28,129.76,40.00,3000
36005.000000,51.535899,55.035181,151.02,-122.56,129.97,40.00,3000
36006.000000,51.535676,55.035645,183.15,-147.42,129.58,40.00,3000
36007.000000,51.535452,55.036112,215.48,-172.30,127.73,40.00,3000
36008.000000,51.535234,55.036547,245.57,-196.63,127.57,40.00,3000
36009.000000,51.535010,55.037025,278.68,-221.55,128.95,40.00,3000
36010.000000,51.534787,55.037498,311.44,-246.31,126.96,40.00,3000
36011.000000,51.534572,55.037924,340.98,-270.32,127.09,40.00,3000
36012.000000,51.534354,55.038371,371.86,-294.53,129.10,40.00,3000
36013.000000,51.534138,55.038811,402.35,-318.58,128.10,40.00,3000
36014.000000,51.533922,55.039262,433.58,-342.68,128.26,40.00,3000
36015.000000,51.533711,55.039680,462.53,-366.17,127.66,40.00,3000
36016.000000,51.533507,55.040056,488.56,-388.84,129.06,40.00,3000
36017.000000,51.533306,55.040423,513.95,-411.23,131.05,40.00,3000
36018.000000,51.533100,55.040827,541.99,-434.17,131.41,40.00,3000
36019.000000,51.532900,55.041202,567.89,-456.43,129.27,40.00,3000
36020.000000,51.532704,55.041555,592.35,-478.19,130.68,40.00,3000
36021.000000,51.532509,55.041912,617.06,-499.88,131.65,40.00,3000
36022.000000,51.532310,55.042307,644.41,-522.07,131.27,40.00,3000
36023.000000,51.532109,55.042722,673.16,-544.41,129.05,40.00,3000
36024.000000,51.531908,55.043159,703.45,-566.88,127.85,40.00,3000
36025.000000,51.531710,55.043580,732.56,-588.94,126.56,40.00,3000
36026.000000,51.531510,55.044023,763.24,-611.09,127.16,40.00,3000
36027.000000,51.531305,55.044545,799.39,-633.91,125.82,40.00,3000
36028.000000,51.531106,55.045030,832.97,-656.14,122.26,40.00,3000
36029.000000,51.530904,55.045561,869.76,-678.57,123.50,40.00,3000
36030.000000,51.530703,55.046116,908.17,-700.94,121.37,40.00,3000
36031.000000,51.530505,55.046663,946.03,-722.99,120.22,40.00,3000
36032.000000,51.530311,55.047189,982.49,-744.58,120.20,40.00,3000
36033.000000,51.530124,55.047669,1015.70,-765.49,120.64,40.00,3000
36034.000000,51.529937,55.048160,1049.71,-786.22,122.19,40.00,3000
36035.000000,51.529752,55.048676,1085.46,-806.87,121.35,40.00,3000
36036.000000,51.529565,55.049265,1126.25,-827.70,120.01,40.00,3000
36037.000000,51.529382,55.049829,1165.26,-848.05,117.06,40.00,3000
36038.000000,51.529204,55.050363,1202.23,-867.87,117.54,40.00,3000
36039.000000,51.529030,55.050878,1237.93,-887.22,118.19,40.00,3000
36040.000000,51.528858,55.051419,1275.36,-906.39,118.45,40.00,3000
36041.000000,51.528690,55.051950,1312.11,-925.11,117.11,40.00,3000
36042.000000,51.528526,55.052447,1346.58,-943.27,116.99,40.00,3000
36043.000000,51.528366,55.052963,1382.26,-961.17,117.78,40.00,3000
36044.000000,51.528208,55.053480,1418.07,-978.69,116.65,40.00,3000
36045.000000,51.528054,55.054005,1454.44,-995.83,116.06,40.00,3000
36046.000000,51.527903,55.054560,1492.89,-1012.72,115.23,40.00,3000
36047.000000,51.527756,55.055084,1529.15,-1029.02,113.70,40.00,3000
36048.000000,51.527613,55.055623,1566.44,-1044.94,114.21,40.00,3000
36049.000000,51.527474,55.056147,1602.76,-1060.42,112.48,39.93,2999
36050.000000,51.527431,55.056777,1646.38,-1065.21,111.89,39.92,2999
36051.000000,51.527177,55.057184,1674.52,-1093.46,111.28,39.99,2999
36052.000000,51.527054,55.057724,1711.92,-1107.24,110.70,39.97,2999
36053.000000,51.526977,55.058308,1752.40,-1115.79,110.13,39.86,2995
36054.000000,51.526810,55.058807,1786.90,-1134.33,109.53,39.91,2994
36055.000000,51.526709,55.059354,1824.78,-1145.63,109.00,39.79,2977
36056.000000,51.526647,55.059946,1865.82,-1152.47,108.42,39.78,2969
36057.000000,51.526525,55.060462,1901.56,-1166.12,107.93,39.59,2932
36058.000000,51.526403,55.060971,1936.80,-1179.62,107.39,39.45,2881
36059.000000,51.526329,55.061529,1975.40,-1187.92,106.87,39.29,2827
36060.000000,51.526236,55.062064,2012.42,-1198.22,106.32,39.17,2782
36061.000000,51.526055,55.062496,2042.36,-1218.38,105.75,39.01,2734
36062.000000,51.525950,55.062999,2077.19,-1230.14,105.18,38.87,2679
36063.000000,51.525912,55.063562,2116.21,-1234.32,104.61,38.65,2605
36064.000000,51.525853,55.064109,2154.02,-1240.85,104.05,38.53,2535
36065.000000,51.525746,55.064608,2188.57,-1252.76,103.49,38.46,2472
36066.000000,51.525662,55.065049,2219.12,-1262.15,102.92,37.84,2249
36067.000000,51.525625,55.065586,2256.31,-1266.32,102.34,37.56,2124
36068.000000,51.525600,55.066105,2292.26,-1269.03,101.76,36.92,1872
36069.000000,51.525528,55.066602,2326.64,-1277.12,101.18,36.72,1768
36070.000000,51.525448,55.067078,2359.64,-1286.02,100.61,36.31,1599
36071.000000,51.525361,55.068007,2423.93,-1295.62,100.08,35.51,2995
36072.000000,51.525308,55.068524,2459.74,-1301.56,99.51,34.82,2893
36073.000000,51.525258,55.069042,2495.61,-1307.15,98.92,34.16,2679
36074.000000,51.525211,55.069561,2531.54,-1312.38,98.33,33.31,2334
36075.000000,51.525167,55.070080,2567.52,-1317.24,97.70,32.46,1926
36076.000000,51.525127,55.070601,2603.54,-1321.72,97.08,31.75,1572
36077.000000,51.525090,55.071122,2639.62,-1325.81,96.43,30.95,2995
36078.000000,51.525057,55.071643,2675.73,-1329.51,95.76,30.18,2900
36079.000000,51.525027,55.072165,2711.89,-1332.81,95.06,29.31,2617
36080.000000,51.525001,55.072688,2748.08,-1335.69,94.33,28.44,2177
36081.000000,51.524979,55.073211,2784.30,-1338.15,93.53,27.64,1731
36082.000000,51.524962,55.073735,2820.55,-1340.12,92.72,26.77,2999
