timestamp_s,found_lat,found_lon,kf_x_m,kf_y_m,speed_mps,heading_deg,ncc
36029.800000,43.497538,42.504521,999.690744,-649.206760,40.00,123.00,0.8481
36030.000000,43.497499,42.504604,1006.400097,-653.563865,40.00,123.00,0.8542
36030.200000,43.497460,42.504687,1013.109447,-657.920967,40.00,123.00,0.8522
36030.400000,43.497421,42.504770,1019.818792,-662.278067,40.00,123.00,0.8513
36030.600000,43.497382,42.504853,1026.528134,-666.635165,40.00,123.00,0.8507
36030.800000,43.497342,42.504936,1033.237471,-670.992259,40.00,123.00,0.8504
36031.000000,43.497303,42.505020,1039.946805,-675.349351,40.00,123.00,0.8499
36031.200000,43.497264,42.505103,1046.656136,-679.706442,40.00,123.00,0.8495
36031.400000,43.497225,42.505186,1053.365466,-684.063532,40.00,123.00,0.8506
36031.600000,43.497522,42.505558,1065.973092,-678.981374,40.55,112.48,0.8481
36031.800000,43.497147,42.505352,1071.801910,-684.747577,40.28,115.22,0.8493
36032.000000,43.497108,42.505435,1077.731207,-690.352979,40.13,117.34,0.8500
36032.200000,43.497411,42.505813,1089.373493,-686.815689,40.77,110.81,0.8509
36032.400000,43.497029,42.505601,1094.773371,-693.268340,40.41,113.81,0.8487
36032.600000,43.496990,42.505684,1100.340339,-699.453594,40.20,116.17,0.8494
36032.800000,43.496951,42.505767,1106.069702,-705.378961,40.09,118.00,0.8496
36033.000000,43.497263,42.506153,1116.825922,-703.259675,40.42,113.71,0.8511
36033.200000,43.496873,42.505934,1122.237539,-709.693544,40.22,115.92,0.8499
36033.400000,43.496834,42.506017,1127.820768,-715.852778,40.11,117.68,0.8501
36033.600000,43.496794,42.506100,1133.525093,-721.818216,40.04,119.13,0.8520
36033.800000,43.496755,42.506183,1139.375568,-727.549767,40.01,120.27,0.8515
36034.000000,43.496716,42.506266,1145.343168,-733.093879,40.00,121.18,0.8511
36034.200000,43.497041,42.506662,1155.440906,-732.028387,40.08,118.14,0.8507
36034.400000,43.497004,42.506747,1165.150490,-731.584074,40.23,115.76,0.8514
36034.600000,43.496967,42.506832,1174.502189,-731.712496,40.39,113.92,0.8514
36034.800000,43.496930,42.506917,1183.533655,-732.353398,40.55,112.53,0.8508
36035.000000,43.496893,42.507002,1192.300102,-733.418419,40.68,111.48,0.8505
36035.200000,43.496856,42.507087,1200.859140,-734.815365,40.79,110.68,0.8520
36035.400000,43.496819,42.507172,1209.212861,-736.540886,40.87,110.12,0.8520
36035.600000,43.496782,42.507257,1217.377872,-738.568407,40.93,109.74,0.8504
36035.800000,43.496745,42.507342,1225.394851,-740.832828,40.96,109.50,0.8517
36036.000000,43.496708,42.507427,1233.272225,-743.320664,40.98,109.38,0.8517
36036.200000,43.496671,42.507512,1241.025575,-746.006979,40.99,109.37,0.8512
36036.400000,43.496634,42.507597,1248.668267,-748.870386,40.98,109.43,0.8515
36036.600000,43.496597,42.507682,1256.213682,-751.889467,40.95,109.57,0.8504
36036.800000,43.496560,42.507767,1263.666991,-755.055950,40.92,109.76,0.8513
36037.000000,43.496722,42.508014,1272.560305,-755.771030,41.05,108.83,0.8482
36037.200000,43.496687,42.508100,1281.286286,-756.762765,41.16,108.09,0.8486
36037.400000,43.496651,42.508185,1289.849774,-758.023688,41.25,107.51,0.8487
36037.600000,43.496615,42.508271,1298.261492,-759.536094,41.31,107.09,0.8490
36037.800000,43.496579,42.508357,1306.529967,-761.286073,41.36,106.79,0.8491
36038.000000,43.496543,42.508443,1314.661143,-763.264715,41.38,106.61,0.8481
36038.200000,43.496507,42.508529,1322.667660,-765.450897,41.39,106.53,0.8471
36038.400000,43.496471,42.508614,1330.559164,-767.827584,41.38,106.55,0.8478
36038.600000,43.496435,42.508700,1338.341510,-770.385433,41.35,106.64,0.8483
36038.800000,43.496399,42.508786,1346.021280,-773.113750,41.32,106.80,0.8486
36039.000000,43.496363,42.508872,1353.605651,-776.000853,41.27,107.03,0.8488
36039.200000,43.496327,42.508958,1361.099769,-779.038143,41.21,107.31,0.8492
36039.400000,43.496291,42.509043,1368.512134,-782.211823,41.15,107.63,0.8492
36039.600000,43.496255,42.509129,1375.849784,-785.510311,41.08,108.00,0.8491
36039.800000,43.496219,42.509215,1383.118359,-788.924247,41.01,108.40,0.8490
36040.000000,43.496184,42.509301,1390.321105,-792.448157,40.94,108.82,0.8492
36040.200000,43.496148,42.509387,1397.481685,-796.043601,40.87,109.26,0.8469
36040.400000,43.496112,42.509472,1404.612873,-799.689516,40.80,109.70,0.8431
36040.600000,43.496076,42.509558,1411.686980,-803.430577,40.74,110.15,0.8434
36040.800000,43.496040,42.509644,1418.723893,-807.234323,40.67,110.61,0.8417
36041.000000,43.496004,42.509730,1425.714291,-811.115825,40.61,111.08,0.8417
36041.200000,43.495968,42.509816,1432.663017,-815.067111,40.55,111.56,0.8417
36041.400000,43.495932,42.509902,1439.573926,-819.081812,40.49,112.04,0.8417
36041.600000,43.495896,42.509987,1446.471931,-823.119021,40.44,112.50,0.8388
36041.800000,43.495860,42.510073,1453.331187,-827.221046,40.39,112.97,0.8398
36042.000000,43.495824,42.510159,1460.163871,-831.367859,40.34,113.44,0.8397
36042.200000,43.495788,42.510245,1466.979846,-835.543187,40.30,113.89,0.8387
36042.400000,43.495752,42.510331,1473.778549,-839.747899,40.26,114.32,0.8381
36042.600000,43.495716,42.510416,1480.562574,-843.977671,40.23,114.75,0.8374
36042.800000,43.495680,42.510502,1487.332996,-848.230689,40.20,115.16,0.8370
36043.000000,43.495645,42.510588,1494.097388,-852.494408,40.17,115.55,0.8357
36043.200000,43.495609,42.510674,1500.852297,-856.774489,40.14,115.93,0.8353
36043.400000,43.495573,42.510760,1507.597108,-861.071920,40.12,116.30,0.8354
36043.600000,43.495537,42.510845,1514.335322,-865.380884,40.10,116.65,0.8352
36043.800000,43.495501,42.510931,1521.068984,-869.697965,40.08,116.98,0.8351
36044.000000,43.495465,42.511017,1527.800846,-874.018578,40.07,117.30,0.8348
36044.200000,43.495429,42.511103,1534.532058,-878.340786,40.05,117.59,0.8346
36044.400000,43.495393,42.511189,1541.263613,-882.662917,40.04,117.88,0.8345
36044.600000,43.495357,42.511274,1547.996566,-886.983194,40.03,118.14,0.8344
36044.800000,43.495321,42.511360,1554.733795,-891.296806,40.02,118.39,0.8338
36045.000000,43.495285,42.511446,1561.474007,-895.605880,40.02,118.62,0.8337
36045.200000,43.495249,42.511532,1568.220955,-899.904144,40.01,118.83,0.8327
36045.400000,43.495213,42.511618,1574.971963,-904.196033,40.01,119.03,0.8327
36045.600000,43.495177,42.511703,1581.729462,-908.477471,40.00,119.21,0.8320
36045.800000,43.495141,42.511789,1588.492044,-912.750787,40.00,119.38,0.8319
36046.000000,43.495106,42.511875,1595.259990,-917.015496,40.00,119.54,0.8320
36046.200000,43.495070,42.511961,1602.036184,-921.266751,39.99,119.68,0.8309
36046.400000,43.495034,42.512047,1608.818092,-925.508778,39.99,119.81,0.8310
36046.600000,43.494998,42.512132,1615.605489,-929.741937,39.99,119.92,0.8314
36046.800000,43.494962,42.512218,1622.399969,-933.963538,39.99,120.03,0.8312
36047.000000,43.494926,42.512304,1629.201297,-938.173956,39.99,120.12,0.8311
36047.200000,43.494890,42.512390,1636.010130,-942.372066,39.99,120.21,0.8305
36047.400000,43.494854,42.512476,1642.826001,-946.558635,39.99,120.28,0.8301
36047.600000,43.494818,42.512561,1649.648588,-950.734189,39.99,120.34,0.8299
36047.800000,43.494782,42.512647,1656.477747,-954.898952,39.99,120.40,0.8298
36048.000000,43.494746,42.512733,1663.314057,-959.051919,39.99,120.45,0.8286
36048.200000,43.494710,42.512819,1670.157259,-963.193501,39.99,120.49,0.8272
36048.400000,43.494674,42.512905,1677.006286,-967.325502,39.99,120.52,0.8270
36048.600000,43.494638,42.512990,1683.861003,-971.448136,39.99,120.55,0.8270
